,SpeciesGroup,,Species,
,Adult Eel,Adult Eel,,Adult Eel
,Eels (freshwater),Eels (freshwater),,Eels (freshwater)
CalendarYear,Licences,Days,,Tonnes
1996,16,26,,3.42
1997,11,20,,2.48
1998,N/A,N/A,,N/A
1999,21,63,,11.39
2000,19,64,,9.61
2001,28,296,,44.71
2002,23,327,,50.14
2003,21,302,,40.22
2004,18,214,,37.64
2005,17,227,,28.6
2006,16,180,,15.28
2007,15,868,,24.6
2008,18,890,,24.84
2009,15,689,,21.81
2010,16,809,,24.23
2011,13,687,,23.06
2012,14,653,,20.95
2013,13,211,,6.72
2014,12,392,,15.11
2015,11,755,,29.27
2016,8,355,,9.05
2017,6,241,,9.83
2018,5,254,,8.22
2019,N/A,N/A,,N/A
2020,N/A,N/A,,N/A
2021,N/A,N/A,,N/A
2022,N/A,N/A,,N/A
2023,N/A,N/A,,N/A
2024 incomplete,N/A,N/A,,N/A
Grand Total,58,8729,,471.5
